cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,desikan_killiany,harvard_oxford
    1,   69,   -7,   17,2.47164,34263,25.69% Precentral_R; 15.92% Temporal_Sup_R; 14.81% Postcentral_R; 8.43% Frontal_Inf_Tri_R; 6.93% Temporal_Mid_R; 6.62% Frontal_Inf_Orb_2_R; 6.30% Frontal_Inf_Oper_R,40.90% Unknown; 19.23% Right-Cerebral-White-Matter; 12.61% ctx-rh-precentral; 6.30% ctx-rh-postcentral; 6.07% ctx-rh-superiortemporal,37.67% Right_Precentral_Gyrus; 10.01% Right_Postcentral_Gyrus; 8.90% Right_Superior_Temporal_Gyrus_posterior_division; 8.51% Right_Inferior_Frontal_Gyrus_pars_triangularis; 6.70% Right_Middle_Temporal_Gyrus_posterior_division
    2,  -57,  -52,   17,2.47155,32454,49.58% Temporal_Mid_L; 15.81% Temporal_Sup_L; 11.48% no_label; 6.74% Frontal_Inf_Oper_L; 5.66% Frontal_Inf_Tri_L,33.36% Unknown; 22.80% Left-Cerebral-White-Matter; 9.90% ctx-lh-superiortemporal; 8.57% ctx-lh-middletemporal; 5.99% ctx-lh-inferiorparietal; 5.16% ctx-lh-bankssts,13.31% Left_Superior_Temporal_Gyrus_posterior_division; 13.14% Left_Middle_Temporal_Gyrus_temporooccipital_part; 10.32% Left_Lateral_Occipital_Cortex_superior_division; 9.65% Left_Angular_Gyrus; 8.57% Left_Inferior_Frontal_Gyrus_pars_opercularis; 8.40% Left_Supramarginal_Gyrus_posterior_division; 8.40% Left_Middle_Temporal_Gyrus_posterior_division; 6.32% Left_Planum_Temporale; 5.49% Left_Lateral_Occipital_Cortex_inferior_division
    3,   -9,   35,   50,2.50049,16875,29.28% Frontal_Sup_Medial_L; 19.52% Frontal_Sup_2_L; 15.04% Supp_Motor_Area_R; 11.52% Frontal_Sup_Medial_R; 8.16% Supp_Motor_Area_L; 5.44% Paracentral_Lobule_L; 5.44% Frontal_Sup_2_R,40.16% Unknown; 21.12% ctx-lh-superiorfrontal; 16.64% Left-Cerebral-White-Matter; 12.80% ctx-rh-superiorfrontal; 6.24% Right-Cerebral-White-Matter,36.96% Left_Superior_Frontal_Gyrus; 22.08% Right_Superior_Frontal_Gyrus; 17.60% Left_Frontal_Pole; 7.36% Right_Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex); 7.20% Left_Precentral_Gyrus
    4,  -42,    2,   59,2.50178,10233,49.08% Precentral_L; 20.58% Frontal_Mid_2_L; 16.89% Frontal_Sup_2_L; 8.71% no_label,47.76% Unknown; 17.94% Left-Cerebral-White-Matter; 14.51% ctx-lh-caudalmiddlefrontal; 12.14% ctx-lh-precentral; 5.80% ctx-lh-superiorfrontal,48.81% Left_Middle_Frontal_Gyrus; 30.08% Left_Precentral_Gyrus; 13.19% Left_Superior_Frontal_Gyrus; 7.92% Left_Postcentral_Gyrus
    5,  -18,  -55,  -25,2.41958, 8424,30.45% Fusiform_L; 19.23% Cerebelum_6_L; 14.42% Temporal_Inf_L; 12.82% no_label; 8.65% ParaHippocampal_L; 7.05% Cerebelum_4_5_L; 6.73% Cerebelum_Crus1_L,27.24% Unknown; 24.68% Left-Cerebellum-Cortex; 12.50% ctx-lh-fusiform; 9.94% Left-Cerebellum-White-Matter; 9.94% Left-Cerebral-White-Matter; 9.62% ctx-lh-inferiortemporal,27.24% Left_Temporal_Fusiform_Cortex_posterior_division; 26.92% no_label; 15.71% Left_Temporal_Occipital_Fusiform_Cortex; 11.54% Left_Inferior_Temporal_Gyrus_temporooccipital_part; 5.45% Left_Hippocampus; 5.45% Left_Parahippocampal_Gyrus_posterior_division
    6,  -57,   -7,   41,2.27482, 4995,58.92% Postcentral_L; 28.11% Precentral_L; 9.73% no_label,36.22% Left-Cerebral-White-Matter; 31.35% Unknown; 20.00% ctx-lh-precentral; 7.57% ctx-lh-postcentral,64.32% Left_Precentral_Gyrus; 34.59% Left_Postcentral_Gyrus
    7,   -6,   62,    2,2.29451, 4698,68.39% Frontal_Sup_Medial_L; 22.41% Frontal_Sup_Medial_R; 5.75% Frontal_Med_Orb_L,41.95% Unknown; 27.59% ctx-lh-superiorfrontal; 13.22% Left-Cerebral-White-Matter; 12.07% ctx-rh-superiorfrontal,51.15% Left_Frontal_Pole; 16.67% Right_Frontal_Pole; 10.34% Left_Paracingulate_Gyrus; 8.62% Left_Superior_Frontal_Gyrus; 7.47% Right_Paracingulate_Gyrus; 5.75% Right_Superior_Frontal_Gyrus
    8,  -48,   -7,  -37,2.43618, 3996,62.84% Temporal_Inf_L; 35.14% no_label,38.51% ctx-lh-inferiortemporal; 38.51% Unknown; 12.84% Left-Cerebral-White-Matter; 6.08% ctx-lh-middletemporal,53.38% Left_Inferior_Temporal_Gyrus_anterior_division; 13.51% Left_Middle_Temporal_Gyrus_anterior_division; 13.51% Left_Temporal_Pole; 12.16% Left_Inferior_Temporal_Gyrus_posterior_division
    9,   48,   38,   29,-2.44501, 3699,90.51% Frontal_Mid_2_R; 8.76% Frontal_Inf_Tri_R,59.12% ctx-rh-rostralmiddlefrontal; 27.74% Unknown; 13.14% Right-Cerebral-White-Matter,75.91% Right_Frontal_Pole; 24.09% Right_Middle_Frontal_Gyrus
   10,    6,  -16,   23,-2.42377, 3645,86.67% no_label; 5.93% Thalamus_L; 5.19% Thalamus_R,24.44% Left-Cerebral-White-Matter; 17.78% Right-Cerebral-White-Matter; 16.30% Left-Lateral-Ventricle; 10.37% Right-Lateral-Ventricle; 5.93% CC_Mid_Posterior; 5.19% Left-choroid-plexus,40.00% Left_Lateral_Ventrical; 28.15% Right_Lateral_Ventricle; 8.15% Left_Thalamus; 8.15% Right_Cingulate_Gyrus_posterior_division; 6.67% Left_Cingulate_Gyrus_posterior_division; 5.93% Right_Thalamus
